id,issue_d,loan_status,term,funded_amnt,annual_inc,dti,fico_range_low,mths_since_last_delinq,emp_length,grade,home_ownership,issue_date,good_bad,
1040587,2/1/16,Fully Paid, 36 months,8400,150000,15.54,670,,10+ years,C,MORTGAGE,2/1/16,Good,
1040593,2/1/16,Fully Paid, 36 months,8925,60000,28.02,720,,1 year,C,MORTGAGE,2/1/16,Good,
1040595,2/1/16,Fully Paid, 36 months,15850,72000,24.33,700,48,5 years,C,MORTGAGE,2/1/16,Good,
1040596,2/1/16,Charged Off, 36 months,12000,175000,24.18,690,,7 years,C,MORTGAGE,2/1/16,Bad,
1040606,2/1/16,Fully Paid, 36 months,4225,37215.51,21.53,710,,1 year,C,MORTGAGE,2/1/16,Good,
1040607,2/1/16,Fully Paid, 36 months,10000,60000,10.54,675,12,10+ years,C,RENT,2/1/16,Good,
1040609,2/1/16,Fully Paid, 60 months,20000,135000,20.04,660,3,1 year,C,MORTGAGE,2/1/16,Good,
1040618,2/1/16,Fully Paid, 36 months,13400,52000,27.35,670,,2 years,C,RENT,2/1/16,Good,
1040626,2/1/16,Fully Paid, 36 months,15825,50000,30.6,740,,,C,OWN,2/1/16,Good,
1040635,2/1/16,Fully Paid, 36 months,17325,53829,32.04,710,20,10+ years,C,MORTGAGE,2/1/16,Good,
1040650,2/1/16,Fully Paid, 60 months,21600,140000,23.48,670,,10+ years,C,MORTGAGE,2/1/16,Good,
1040658,2/1/16,Fully Paid, 36 months,11800,139200,6.9,685,57,3 years,C,RENT,2/1/16,Good,
1040659,2/1/16,Fully Paid, 36 months,5725,65000,16.34,680,12,10+ years,C,RENT,2/1/16,Good,
1040662,2/1/16,Charged Off, 60 months,29000,125000,23.21,715,,10+ years,C,MORTGAGE,2/1/16,Bad,
1040673,2/1/16,Fully Paid, 36 months,6000,90000,5.65,665,,5 years,C,MORTGAGE,2/1/16,Good,
1040674,2/1/16,Fully Paid, 36 months,11000,29000,20.39,685,,2 years,C,RENT,2/1/16,Good,
1040689,2/1/16,Fully Paid, 36 months,8400,40000,8.55,680,55,2 years,C,RENT,2/1/16,Good,
1040691,2/1/16,Charged Off, 36 months,5000,72000,29.98,755,,10+ years,C,RENT,2/1/16,Bad,
1040708,2/1/16,Fully Paid, 36 months,6900,23040,12.86,670,,< 1 year,C,RENT,2/1/16,Good,
1040716,2/1/16,Fully Paid, 36 months,12000,85000,38.76,660,20,10+ years,C,RENT,2/1/16,Good,
1040726,2/1/16,Charged Off, 36 months,9000,74000,30.77,685,,,D,MORTGAGE,2/1/16,Bad,
1040764,2/1/16,Fully Paid, 36 months,12000,80000,33.54,680,,2 years,C,MORTGAGE,2/1/16,Good,
1040765,2/1/16,Fully Paid, 36 months,10000,85000,39.15,695,12,7 years,D,MORTGAGE,2/1/16,Good,
1040767,2/1/16,Fully Paid, 36 months,20075,66500,44.85,680,,5 years,E,RENT,2/1/16,Good,
1040785,2/1/16,Charged Off, 36 months,5600,35000,35.29,695,,3 years,D,OWN,2/1/16,Bad,
1040816,2/1/16,Fully Paid, 36 months,5000,107000,17.68,670,42,4 years,C,RENT,2/1/16,Good,
1040820,2/1/16,Fully Paid, 36 months,3125,24000,4.83,680,,3 years,E,RENT,2/1/16,Good,
1040822,2/1/16,Fully Paid, 36 months,6200,35000,37.38,720,22,1 year,C,RENT,2/1/16,Good,
1040834,2/1/16,Charged Off, 36 months,18000,125000,17.25,680,,1 year,C,MORTGAGE,2/1/16,Bad,
1040843,2/1/16,Fully Paid, 36 months,35000,145000,7.7,740,,3 years,C,MORTGAGE,2/1/16,Good,
1040851,2/1/16,Fully Paid, 36 months,4100,20448,22.89,725,,,D,MORTGAGE,2/1/16,Good,
1040857,2/1/16,Fully Paid, 36 months,7700,72500,8.44,690,35,4 years,A,RENT,2/1/16,Good,
1040859,2/1/16,Charged Off, 36 months,12000,24000,29.66,740,,10+ years,A,MORTGAGE,2/1/16,Bad,
1040868,2/1/16,Charged Off, 36 months,35000,180000,5.73,725,,10+ years,A,MORTGAGE,2/1/16,Bad,
1040872,2/1/16,Current, 60 months,34625,225000,16.45,690,,10+ years,B,MORTGAGE,2/1/16,Good,
1040874,2/1/16,Fully Paid, 36 months,27000,158133,13.07,695,,10+ years,C,RENT,2/1/16,Good,
1040880,2/1/16,Fully Paid, 36 months,15000,68000,9.51,790,,10+ years,A,MORTGAGE,2/1/16,Good,
1040882,2/1/16,Fully Paid, 36 months,28800,195000,16.16,755,,5 years,A,RENT,2/1/16,Good,
1040884,2/1/16,Fully Paid, 36 months,9200,20000,17.47,705,35,< 1 year,C,OWN,2/1/16,Good,
1040892,2/1/16,Fully Paid, 36 months,18000,180000,14.07,745,,10+ years,A,MORTGAGE,2/1/16,Good,
1040893,2/1/16,Charged Off, 36 months,10000,34600,12.97,665,70,1 year,C,OWN,2/1/16,Bad,
1040899,2/1/16,Current, 36 months,6400,70000,6.74,695,8,1 year,B,MORTGAGE,2/1/16,Good,
1040901,2/1/16,Fully Paid, 36 months,21000,90000,23.07,745,21,10+ years,A,MORTGAGE,2/1/16,Good,
1040902,2/1/16,Fully Paid, 36 months,26775,120000,9.59,680,2,< 1 year,A,MORTGAGE,2/1/16,Good,
1040906,2/1/16,Fully Paid, 36 months,15850,55000,19.44,775,,< 1 year,B,MORTGAGE,2/1/16,Good,
1040910,2/1/16,Fully Paid, 36 months,6500,69000,5.22,790,32,,A,RENT,2/1/16,Good,
1040915,2/1/16,Fully Paid, 36 months,25000,94600,13.75,695,79,10+ years,A,MORTGAGE,2/1/16,Good,
1040918,2/1/16,Current, 60 months,16000,102000,13.89,710,31,10+ years,B,RENT,2/1/16,Good,
1040924,2/1/16,Current, 60 months,15000,62000,19.59,675,41,10+ years,C,MORTGAGE,2/1/16,Good,
1040929,2/1/16,Charged Off, 60 months,13200,51500,25.66,685,,2 years,B,MORTGAGE,2/1/16,Bad,
1040934,2/1/16,Charged Off, 60 months,28000,83000,18.19,670,,10+ years,D,MORTGAGE,2/1/16,Bad,
1040936,2/1/16,Fully Paid, 36 months,6000,105996,8.08,715,50,8 years,F,MORTGAGE,2/1/16,Good,
1040944,2/1/16,Fully Paid, 36 months,8000,45000,27.52,725,57,< 1 year,A,MORTGAGE,2/1/16,Good,
1040945,2/1/16,Fully Paid, 36 months,7500,90000,27.2,730,,< 1 year,B,RENT,2/1/16,Good,
1040947,2/1/16,Fully Paid, 36 months,30000,185000,12.53,680,15,10+ years,B,MORTGAGE,2/1/16,Good,
1040951,2/1/16,Fully Paid, 36 months,10000,70000,17.35,660,42,10+ years,C,MORTGAGE,2/1/16,Good,
1040957,2/1/16,Fully Paid, 36 months,24000,72000,32.3,695,,8 years,C,MORTGAGE,2/1/16,Good,
1040958,2/1/16,Current, 36 months,16000,120000,11.73,680,23,2 years,C,RENT,2/1/16,Good,
1040963,2/1/16,Fully Paid, 36 months,5000,44000,13.59,715,,,A,RENT,2/1/16,Good,
1040965,2/1/16,Fully Paid, 36 months,15000,110000,27.59,680,17,8 years,B,MORTGAGE,2/1/16,Good,
1040966,2/1/16,Fully Paid, 36 months,15000,52000,15.62,715,36,7 years,A,MORTGAGE,2/1/16,Good,
1040974,2/1/16,Fully Paid, 36 months,15000,52000,1.32,745,,7 years,B,MORTGAGE,2/1/16,Good,
1040979,2/1/16,Fully Paid, 36 months,15000,117000,19.76,720,25,10+ years,B,MORTGAGE,2/1/16,Good,
1040984,2/1/16,Fully Paid, 36 months,9900,80000,10.83,725,63,8 years,A,RENT,2/1/16,Good,
1040985,2/1/16,Fully Paid, 36 months,20000,435000,3.07,700,28,4 years,B,OWN,2/1/16,Good,
1040987,2/1/16,Charged Off, 36 months,28000,190000,7.53,705,28,10+ years,A,OWN,2/1/16,Bad,
1040990,2/1/16,Fully Paid, 36 months,14000,105000,5.35,700,44,< 1 year,A,MORTGAGE,2/1/16,Good,
1040992,2/1/16,Fully Paid, 36 months,1000,41000,13.7,710,28,10+ years,B,MORTGAGE,2/1/16,Good,
1040993,2/1/16,Fully Paid, 36 months,8500,46000,37.02,725,,< 1 year,B,OWN,2/1/16,Good,
1040994,2/1/16,Fully Paid, 36 months,12000,145000,28.13,695,,9 years,C,RENT,2/1/16,Good,
1040995,2/1/16,Fully Paid, 60 months,24000,72500,29.95,690,3,5 years,C,RENT,2/1/16,Good,
1040996,2/1/16,Fully Paid, 36 months,15000,80000,13.32,720,42,10+ years,A,RENT,2/1/16,Good,
1040998,2/1/16,Fully Paid, 36 months,10000,129000,18.03,695,70,10+ years,B,MORTGAGE,2/1/16,Good,
1041000,2/1/16,Fully Paid, 36 months,35000,105000,16.09,725,,2 years,C,MORTGAGE,2/1/16,Good,
1041003,2/1/16,Current, 60 months,35000,100000,26.35,705,,6 years,C,MORTGAGE,2/1/16,Good,
1041007,2/1/16,Fully Paid, 36 months,20000,50000,18.98,750,,10+ years,A,MORTGAGE,2/1/16,Good,
1041011,2/1/16,Fully Paid, 36 months,15000,140000,10.26,775,,10+ years,A,RENT,2/1/16,Good,
1041014,2/1/16,Fully Paid, 36 months,4000,110000,7.62,665,52,10+ years,C,MORTGAGE,2/1/16,Good,
1041015,2/1/16,Fully Paid, 36 months,16000,51000,14,675,,10+ years,C,MORTGAGE,2/1/16,Good,
1041016,2/1/16,Fully Paid, 36 months,15000,62000,19.51,780,,2 years,A,RENT,2/1/16,Good,
1041018,2/1/16,Fully Paid, 36 months,5100,50000,24.2,705,72,8 years,E,RENT,2/1/16,Good,
1041021,2/1/16,Fully Paid, 36 months,7200,20000,6.36,725,,1 year,D,OWN,2/1/16,Good,
1041024,2/1/16,Fully Paid, 36 months,28800,60000,29.52,755,,3 years,B,RENT,2/1/16,Good,
1041025,2/1/16,Fully Paid, 36 months,5000,65000,4.56,780,,10+ years,A,MORTGAGE,2/1/16,Good,
1041027,2/1/16,Fully Paid, 36 months,35000,101000,27.66,690,,10+ years,C,MORTGAGE,2/1/16,Good,
1041034,2/1/16,Fully Paid, 36 months,15000,52000,23.46,750,,8 years,A,RENT,2/1/16,Good,
1041035,2/1/16,Fully Paid, 36 months,9600,103865,24.45,700,,10+ years,D,OWN,2/1/16,Good,
1041037,2/1/16,Fully Paid, 36 months,5000,30000,8.51,800,,,A,RENT,2/1/16,Good,
1041039,2/1/16,Fully Paid, 36 months,10000,46000,22.88,685,,10+ years,B,MORTGAGE,2/1/16,Good,
1041040,2/1/16,Fully Paid, 36 months,10000,74000,13.27,725,46,< 1 year,A,MORTGAGE,2/1/16,Good,
