,issue_d,loan_status,term,funded_amnt,annual_inc,dti,fico_range_low,mths_since_last_delinq,emp_length,grade,home_ownership,issue_date
1040587,2016-02-01,Fully Paid, 36 months,8400.0,150000.0,15.54,670.0,,10+ years,C,MORTGAGE,2016-02-01
1040593,2016-02-01,Fully Paid, 36 months,8925.0,60000.0,28.02,720.0,,1 year,C,MORTGAGE,2016-02-01
1040595,2016-02-01,Fully Paid, 36 months,15850.0,72000.0,24.33,700.0,48.0,5 years,C,MORTGAGE,2016-02-01
1040596,2016-02-01,Charged Off, 36 months,12000.0,175000.0,24.18,690.0,,7 years,C,MORTGAGE,2016-02-01
1040606,2016-02-01,Fully Paid, 36 months,4225.0,37215.51,21.53,710.0,,1 year,C,MORTGAGE,2016-02-01
1040607,2016-02-01,Fully Paid, 36 months,10000.0,60000.0,10.54,675.0,12.0,10+ years,C,RENT,2016-02-01
1040609,2016-02-01,Fully Paid, 60 months,20000.0,135000.0,20.04,660.0,3.0,1 year,C,MORTGAGE,2016-02-01
1040618,2016-02-01,Fully Paid, 36 months,13400.0,52000.0,27.35,670.0,,2 years,C,RENT,2016-02-01
1040626,2016-02-01,Fully Paid, 36 months,15825.0,50000.0,30.6,740.0,,,C,OWN,2016-02-01
1040635,2016-02-01,Fully Paid, 36 months,17325.0,53829.0,32.04,710.0,20.0,10+ years,C,MORTGAGE,2016-02-01
1040650,2016-02-01,Fully Paid, 60 months,21600.0,140000.0,23.48,670.0,,10+ years,C,MORTGAGE,2016-02-01
1040658,2016-02-01,Fully Paid, 36 months,11800.0,139200.0,6.9,685.0,57.0,3 years,C,RENT,2016-02-01
1040659,2016-02-01,Fully Paid, 36 months,5725.0,65000.0,16.34,680.0,12.0,10+ years,C,RENT,2016-02-01
1040662,2016-02-01,Charged Off, 60 months,29000.0,125000.0,23.21,715.0,,10+ years,C,MORTGAGE,2016-02-01
1040673,2016-02-01,Fully Paid, 36 months,6000.0,90000.0,5.65,665.0,,5 years,C,MORTGAGE,2016-02-01
1040674,2016-02-01,Fully Paid, 36 months,11000.0,29000.0,20.39,685.0,,2 years,C,RENT,2016-02-01
1040689,2016-02-01,Fully Paid, 36 months,8400.0,40000.0,8.55,680.0,55.0,2 years,C,RENT,2016-02-01
1040691,2016-02-01,Charged Off, 36 months,5000.0,72000.0,29.98,755.0,,10+ years,C,RENT,2016-02-01
1040708,2016-02-01,Fully Paid, 36 months,6900.0,23040.0,12.86,670.0,,< 1 year,C,RENT,2016-02-01
1040716,2016-02-01,Fully Paid, 36 months,12000.0,85000.0,38.76,660.0,20.0,10+ years,C,RENT,2016-02-01
1040726,2016-02-01,Charged Off, 36 months,9000.0,74000.0,30.77,685.0,,,D,MORTGAGE,2016-02-01
1040764,2016-02-01,Fully Paid, 36 months,12000.0,80000.0,33.54,680.0,,2 years,C,MORTGAGE,2016-02-01
1040765,2016-02-01,Fully Paid, 36 months,10000.0,85000.0,39.15,695.0,12.0,7 years,D,MORTGAGE,2016-02-01
1040767,2016-02-01,Fully Paid, 36 months,20075.0,66500.0,44.85,680.0,,5 years,E,RENT,2016-02-01
1040785,2016-02-01,Charged Off, 36 months,5600.0,35000.0,35.29,695.0,,3 years,D,OWN,2016-02-01
1040816,2016-02-01,Fully Paid, 36 months,5000.0,107000.0,17.68,670.0,42.0,4 years,C,RENT,2016-02-01
